记录日期,样式名称,分组编号,缺件名称,完成数量,返工数量,助理姓名,备注
2026-05-01,牡丹团扇,A组,竹骨,18,2,李老师,首次缺件
2026-05-01,梅花团扇,B组,丝线,22,1,王老师,
2026-05-02,兰花团扇,A组,,25,0,李老师,
2026-05-02,菊花团扇,C组,竹骨,15,3,张老师,返工较多
2026-05-03,牡丹团扇,B组,胶水瓶,20,1,王老师,
2026-05-03,梅花团扇,A组,,28,0,李老师,
2026-05-04,兰花团扇,C组,"丝线,装饰纸",12,2,张老师,多种材料缺失
2026-05-04,菊花团扇,B组,,24,1,王老师,
2026-05-05,牡丹团扇,A组,竹骨,16,4,李老师,质量问题
2026-05-05,梅花团扇,C组,,30,0,张老师,
2026-05-06,兰花团扇,B组,"竹骨,丝线",18,2,王老师,
2026-05-06,菊花团扇,A组,,22,0,李老师,
2026-05-07,牡丹团扇,C组,装饰纸,20,1,张老师,
2026-05-07,梅花团扇,B组,,26,1,王老师,
2026-05-08,兰花团扇,A组,竹骨,14,3,李老师,
2026-05-08,菊花团扇,C组,,28,0,张老师,
2026-05-09,牡丹团扇,B组,胶水瓶,19,2,王老师,
2026-05-09,梅花团扇,A组,,30,0,李老师,
2026-05-10,兰花团扇,C组,"丝线,竹骨",11,4,张老师,严重缺件
2026-05-10,菊花团扇,B组,,25,0,王老师,
2026-05-11,牡丹团扇,A组,,24,1,李老师,
2026-05-11,梅花团扇,C组,装饰纸,17,2,张老师,
2026-05-12,兰花团扇,B组,竹骨,20,1,王老师,
2026-05-12,菊花团扇,A组,,28,0,李老师,
2026-05-13,牡丹团扇,C组,,22,1,张老师,
2026-05-13,梅花团扇,B组,丝线,16,3,王老师,
2026-05-14,兰花团扇,A组,,30,0,李老师,
2026-05-14,菊花团扇,C组,"竹骨,胶水瓶",13,2,张老师,
2026-05-15,牡丹团扇,B组,,27,0,王老师,
2026-05-15,梅花团扇,A组,,25,1,李老师,
